isin,ticker,alpaca_ticker,name,ticker_resolution_source,current_quantity,current_price,current_value,broker_avg_cost,open_cost_basis,unrealized_pl,unrealized_pl_pct,historical_buy_cash,historical_sell_cash,historical_net_cash,transaction_buy_shares,transaction_sell_shares,weighted_paid_price,weighted_market_price_at_buy,paid_vs_market_at_buy,paid_vs_market_at_buy_pct,historical_price_status,alpaca_weighted_price_at_buy_time,alpaca_paid_vs_market_at_buy_time,alpaca_paid_vs_market_at_buy_time_pct,alpaca_status
IE00BK5BQT80,VWCE.DE,,FTSE All-World USD (Acc),llm_name_resolution,0.269595,164.6,44.38,166.863,44.985430485,-0.605430485,-1.3458368153259654,46.0,0.0,46.0,0.275674,0.006079,166.8637593679491,,,,missing_price_history,,,,not_requested
IE00BYZK4552,2B76.DE,,Automation & Robotics USD (Acc),llm_name_resolution,1.93922,18.568,36.01,18.5652,36.002007144,0.007992856,0.022201139975419587,36.0,0.0,36.0,1.93922,0.0,18.564164973546063,,,,missing_price_history,,,,not_requested
NL0010273215,ASML.AS,ASML,ASML,manual_map,0.013858,1625.6,22.53,1587.4375,21.998708875,0.531291125,2.415101395354049,22.0,0.0,22.0,0.013858,0.0,1587.5306682060902,,,,missing_price_history,,,,not_requested
CA09076P1045,BDT.TO,,Bird Construction,llm_name_resolution,0.244324,37.0,9.04,40.634,9.927861416,-0.887861416,-8.943128623543227,11.0,0.0,11.0,0.270709,0.026385,40.63403876487298,,,,missing_price_history,,,,not_requested
US67066G1040,NVD.DE,NVDA,NVIDIA,manual_map,0.038323,182.1,6.98,195.8304,7.5048084192,-0.5248084192,-6.992962243477812,11.71,3.0,8.71,0.059796,0.021473,195.83249715700046,,,,missing_price_history,,,,not_requested
US22788C1053,CRWD,CRWD,Crowdstrike Holdings (A),manual_map,0.010953,598.0,6.55,730.3675,7.9997152275,-1.4497152275,-18.122085427696558,8.0,0.0,8.0,0.010953,0.0,730.3934994978545,,,,missing_price_history,,,,not_requested
US8740391003,TSM,TSM,TSMC (ADR),manual_map,0.016918,380.5,6.44,409.143,6.921881274,-0.481881274,-6.9617096122414655,8.0,0.0,8.0,0.019553,0.002635,409.14437682197104,,,,missing_price_history,,,,not_requested
US5324571083,LLY.DE,LLY,Eli Lilly & Co,manual_map,0.005129,973.9,5.0,967.2123,4.9608318867,0.0391681133,0.7895472814753064,6.0,0.01,5.99,0.006203,0.007277,967.273899725939,,,,missing_price_history,,,,not_requested
US49338L1035,KEYS,KEYS,Keysight Technologies,manual_map,0.011028,306.35,3.38,323.8403,3.5713108284,-0.1913108284,-5.356879801070412,11.0,6.0,5.0,0.033967,0.022939,323.8437306797774,,,,missing_price_history,,,,not_requested
US84615Q1031,,,SpaceX,missing,0.011075,183.32,2.03,116.7628,1.29314801,0.73685199,56.98125692510635,0.0,0.0,0.0,0.0,0.0,,,,,missing_price_history,,,,not_requested
