signal_date,next_date,regime,portfolio_value_start,portfolio_value_end,daily_pnl,daily_return,benchmark_value_start,benchmark_value_end,benchmark_return,cash,cash_weight,gross_exposure,buy_count,hold_count,sell_count,realized_pnl_cumulative
2026-05-05,2026-05-06,risk_on_growth,21.090705035644532,21.090705035644532,0.0,0.0,21.090705035644532,21.3838540131402,0.013899439445017592,21.090705035644532,1.0,0.0,0,19,0,1.0907050356445327
2026-05-06,2026-05-07,risk_on_growth,21.090705035644532,21.090705035644532,0.0,0.0,21.3838540131402,21.318288868067,-0.0030661051573263043,21.090705035644532,1.0,0.0,0,19,0,1.0907050356445327
2026-05-07,2026-05-08,risk_on_growth,21.090705035644532,21.090705035644532,0.0,0.0,21.318288868067,21.49429421722333,0.008256073001242203,21.090705035644532,1.0,0.0,0,19,0,1.0907050356445327
2026-05-08,2026-05-09,risk_on_growth,21.090705035644532,21.090705035644532,0.0,0.0,21.49429421722333,21.49429421722333,0.0,21.090705035644532,1.0,0.0,0,18,1,1.0907050356445327
2026-05-09,2026-05-10,risk_on_growth,21.090705035644532,21.090705035644532,0.0,0.0,21.49429421722333,21.49429421722333,0.0,21.090705035644532,1.0,0.0,0,19,0,1.0907050356445327
2026-05-10,2026-05-11,risk_on_growth,21.090705035644532,21.090705035644532,0.0,0.0,21.49429421722333,21.543249312116448,0.002277585595431564,21.090705035644532,1.0,0.0,0,19,0,1.0907050356445327
2026-05-11,2026-05-12,risk_on_growth,21.090705035644532,21.090705035644532,0.0,0.0,21.543249312116448,21.510612582187704,-0.0015149399914519135,21.090705035644532,1.0,0.0,0,19,0,1.0907050356445327
2026-05-12,2026-05-13,risk_on_growth,21.090705035644532,21.090705035644532,0.0,0.0,21.510612582187704,21.6309611907631,0.005594848036780231,21.090705035644532,1.0,0.0,0,19,0,1.0907050356445327
2026-05-13,2026-05-14,risk_on_growth,21.090705035644532,21.090705035644532,0.0,0.0,21.6309611907631,21.78117907685475,0.006944577486265313,21.090705035644532,1.0,0.0,0,18,1,1.0907050356445327
2026-05-14,2026-05-15,risk_on_growth,21.090705035644532,21.090705035644532,0.0,0.0,21.78117907685475,21.78117907685475,0.0,21.090705035644532,1.0,0.0,0,18,1,1.0907050356445327
