asset_scope,tracked_by_simulation,simulation_ticker,source_symbol,name,shares,avg_cost,entry_date,cash_effect,portfolio_as_of_date
cash,True,CASH,EUR,Cash,0.0,1.0,,0.0,2026-05-12
tracked,True,ETH-USD,ETH,Ethereum,0.004877,2255.4849292597905,2026-05-05,-11.0,2026-05-12
tracked,True,ASML,NL0010273215,ASML,0.006636,1356.23869801085,2026-05-05,-9.0,2026-05-12
tracked,True,TSM,US8740391003,TSMC (ADR),0.019553,409.14437682197104,2026-05-07,-8.0,2026-05-12
tracked,True,SOL-USD,SOL,Solana,0.130797,84.0997882214424,2026-05-07,-11.0,2026-05-12
tracked,True,NVDA,US67066G1040,NVIDIA,0.059796,195.8324971570005,2026-05-07,-11.71,2026-05-12
tracked,True,AAPL,US0378331005,Apple,0.040404,272.25027225027225,2026-05-08,-11.0,2026-05-12
tracked,True,LLY,US5324571083,Eli Lilly & Co,0.006203,967.273899725939,2026-05-11,-6.0,2026-05-12
tracked,True,SHEL,GB00BP6MXD84,Shell,0.138255,43.39806878593903,2026-05-11,-6.0,2026-05-12
tracked,True,XOM,US30231G1022,Exxon Mobil,0.040173,149.3540437607348,2026-05-11,-6.0,2026-05-12
tracked,True,AVGO,US11135F1012,Broadcom,0.025291,395.39757225890634,2026-05-12,-10.0,2026-05-12
excluded,False,,IE00BK5BQT80,FTSE All-World USD (Acc),0.063147,,,-11.0,2026-05-12
excluded,False,,IE00B4L5Y983,Core MSCI World USD (Acc),0.083462,,,-11.0,2026-05-12
excluded,False,,IE00BYZK4552,Automation & Robotics USD (Acc),1.046876,,,-19.0,2026-05-12
excluded,False,,IE00B1XNHC34,Global Clean Energy USD (Dist),0.965437,,,-11.0,2026-05-12
excluded,False,,LU1681048804,S&P 500 EUR (Acc),0.064002,,,-9.0,2026-05-12
